Date,N,D,S,I,R
13-07-2020,1382345085,23727,1381438333,311565,595187
14-07-2020,1382345085,24309,1381408904,319840,616341
15-07-2020,1382345085,24914,1381376228,331175,637682
16-07-2020,1382345085,25602,1381341253,342473,661359
17-07-2020,1382345085,26273,1381306001,359060,680024
18-07-2020,1382345085,26816,1381267304,373542,704239
19-07-2020,1382345085,27497,1381226879,390622,727584
20-07-2020,1382345085,28082,1381189747,402678,752660
21-07-2020,1382345085,28732,1381152007,411296,781782
22-07-2020,1382345085,29861,1381106287,426330,812468
23-07-2020,1382345085,30601,1381056977,440298,847810
24-07-2020,1382345085,31358,1381008061,456234,880790
25-07-2020,1382345085,32060,1380959450,468002,917633
26-07-2020,1382345085,32771,1380909469,485277,950339
27-07-2020,1382345085,33408,1380865012,495499,984574
